YM,CUST_CD,ITM_CD,QTY,DSC_RT,SALES_ORG,SALES
201901,S0046,I116,34,11,49640000,40704796
201901,S0047,I114,70,12,16800000,15119996
201901,S0048,I118,52,17,27560000,24252796
201901,S0049,I106,78,10,1560000,1263596
201901,S0050,I108,56,18,2240000,2015996
201901,S0051,I109,49,13,24500000,21069996
201901,S0052,I116,63,16,91980000,77263196
201901,S0053,I119,17,10,1615000,1340446
201901,S0054,I119,23,18,2185000,1879096
201901,S0055,I102,79,11,3160000,2654396
201901,S0056,I105,79,10,7900000,6477996
201901,S0057,I103,63,13,3150000,2834996
201901,S0058,I105,74,13,7400000,6067996
201901,S0059,I111,38,19,5700000,4901996
201901,S0060,I114,17,20,4080000,3590396
201901,S0061,I114,18,11,4320000,3499196
201901,S0062,I109,38,16,19000000,16149996
201901,S0063,I116,66,15,96360000,78051596
201901,S0064,I104,22,16,1540000,1247396
201901,S0065,I120,6,17,25800000,22703996
201901,S0066,I120,5,19,21500000,18059996
201901,S0067,I109,63,10,31500000,27404996
201901,S0068,I109,11,16,5500000,4729996
201901,S0069,I110,27,16,8100000,7127996
201901,S0070,I110,47,17,14100000,11702996
201901,S0071,I113,24,19,16080000,14150396
201901,S0072,I106,68,13,1360000,1087996
201901,S0073,I114,76,14,18240000,16415996
201901,S0074,I114,46,17,11040000,9494396
201901,S0075,I114,51,18,12240000,9914396
201901,S0076,I105,42,10,4200000,3653996
201901,S0077,I112,73,15,4745000,4270496
201901,S0078,I104,47,20,3290000,2960996
201901,S0079,I111,62,18,9300000,8276996
201901,S0080,I102,17,15,680000,611996
201901,S0081,I105,21,13,2100000,1868996
201901,S0082,I105,78,12,7800000,6395996
201901,S0083,I115,77,16,385000,307996
201901,S0084,I115,25,20,125000,108746
201901,S0085,I113,10,12,6700000,5627996
201901,S0086,I105,41,19,4100000,3279996
201901,S0087,I108,12,11,480000,403196
201901,S0088,I115,61,19,305000,268396
201901,S0089,I115,8,17,40000,34796
201901,S0090,I103,11,14,550000,439996
201901,S0091,I102,80,18,3200000,2655996
201901,S0092,I113,41,13,27470000,22525396
201901,S0093,I103,27,15,1350000,1147496
201901,S0094,I110,45,20,13500000,10799996
201901,S0095,I112,50,19,3250000,2859996
201901,S0096,I118,17,20,9010000,7568396
201901,S0097,I111,68,16,10200000,9077996
201901,S0098,I107,16,13,2400000,1991996
201901,S0099,I118,11,10,5830000,5013796
201901,S0100,I120,54,16,232200000,202013996
201901,H0001,I115,98,0,490000,485096
201901,H0002,I111,77,0,11550000,11318996
201901,H0003,I102,104,2,4160000,4076796
201901,H0004,I102,114,0,4560000,4559996
201901,H0005,I102,72,2,2880000,2851196
201901,H0006,I104,75,2,5250000,5249996
201901,H0007,I112,92,2,5980000,5920196
201901,H0008,I102,82,1,3280000,3214396
201901,H0009,I106,103,0,2060000,2039396
201901,H0010,I120,98,0,421400000,412971996
201901,H0011,I107,103,1,15450000,15295496
201901,H0012,I103,84,2,4200000,4157996
201901,H0013,I113,107,0,71690000,70973096
201901,H0014,I110,111,0,33300000,32633996
201901,H0015,I102,107,1,4280000,4194396
201901,H0016,I120,81,2,348300000,348299996
201901,H0017,I101,117,2,3510000,3509996
201901,H0018,I119,92,1,8740000,8565196
201901,H0019,I117,100,0,250000000,247499996
201901,H0020,I108,96,2,3840000,3801596
201901,H0021,I115,118,2,590000,589996
201901,H0022,I120,116,2,498800000,488823996
201901,H0023,I110,83,0,24900000,24899996
201901,H0024,I116,114,0,166440000,164775596
201901,H0025,I111,84,1,12600000,12599996
201901,H0026,I113,114,1,76380000,74852396
201901,H0027,I119,116,1,11020000,11019996
201901,H0028,I104,98,0,6860000,6722796
201901,H0029,I104,71,2,4970000,4870596
201901,H0030,I101,115,0,3450000,3449996
201901,H0031,I115,103,2,515000,514996
201901,H0032,I107,81,2,12150000,12028496
201901,H0033,I107,92,1,13800000,13799996
201901,H0034,I101,106,0,3180000,3179996
201901,H0035,I106,104,2,2080000,2079996
201901,H0036,I105,84,2,8400000,8399996
201901,H0037,I103,102,2,5100000,4997996
201901,H0038,I106,86,0,1720000,1719996
201901,H0039,I109,110,1,55000000,54999996
201901,H0040,I119,81,0,7695000,7541096
201901,H0041,I106,113,0,2260000,2259996
201901,H0042,I102,96,2,3840000,3839996
201901,H0043,I104,102,2,7140000,7068596
201901,H0044,I104,87,0,6090000,6029096
201901,H0045,I117,74,0,185000000,184999996
201901,H0046,I108,115,0,4600000,4553996
201901,H0047,I119,108,0,10260000,10054796
201901,H0048,I119,107,0,10165000,9961696
201901,H0049,I117,96,1,240000000,235199996
201901,H0050,I105,108,0,10800000,10691996
201901,H0051,I107,87,2,13050000,12919496
201901,H0052,I111,81,1,12150000,11906996
201901,H0053,I102,84,2,3360000,3326396
201901,H0054,I113,116,1,77720000,76942796
201901,H0055,I107,77,2,11550000,11318996
201901,H0056,I110,75,1,22500000,22274996
201901,H0057,I108,83,1,3320000,3253596
201901,H0058,I105,81,1,8100000,7937996
201901,H0059,I112,78,0,5070000,5019296
201901,H0060,I102,113,0,4520000,4474796
201901,H0061,I111,107,2,16050000,15889496
201901,H0062,I119,86,2,8170000,8006596
201901,H0063,I117,82,1,205000000,204999996
201901,H0064,I106,74,1,1480000,1450396
201901,H0065,I105,93,2,9300000,9113996
201901,H0066,I112,77,1,5005000,4954946
201901,H0067,I106,92,2,1840000,1803196
201901,H0068,I113,108,1,72360000,71636396
201901,H0069,I112,73,0,4745000,4650096
201901,H0070,I102,91,1,3640000,3639996
201901,H0071,I108,97,0,3880000,3841196
201901,H0072,I106,92,0,1840000,1839996
201901,H0073,I112,85,0,5525000,5414496
201901,H0074,I117,108,0,270000000,267299996
201901,H0075,I118,74,0,39220000,38827796
201901,H0076,I102,101,0,4040000,3999596
201901,H0077,I105,99,1,9900000,9800996
201901,H0078,I102,114,1,4560000,4468796
201901,H0079,I119,104,2,9880000,9879996
201901,H0080,I101,91,0,2730000,2729996
201901,H0081,I107,79,2,11850000,11849996
201901,H0082,I113,81,1,54270000,53184596
201901,H0083,I107,95,1,14250000,14249996
201901,H0084,I110,85,0,25500000,25499996
201901,H0085,I120,112,0,481600000,481599996
201901,H0086,I120,82,0,352600000,345547996
201901,H0087,I101,91,1,2730000,2702696
201901,H0088,I106,87,2,1740000,1705196
201901,H0089,I102,81,0,3240000,3207596
201901,H0090,I111,80,2,12000000,11879996
201901,H0091,I101,85,0,2550000,2549996
201901,H0092,I111,99,2,14850000,14701496
201901,H0093,I117,89,0,222500000,222499996
201901,H0094,I112,92,0,5980000,5860396
201901,H0095,I113,75,0,50250000,50249996
201901,H0096,I116,83,1,121180000,118756396
201901,H0097,I111,76,1,11400000,11285996
201901,H0098,I106,88,1,1760000,1759996
201901,H0099,I109,93,2,46500000,46499996
201901,H0100,I119,84,0,7980000,7979996
201901,H0101,I102,88,2,3520000,3484796
201901,H0102,I119,117,0,11115000,10892696
201901,H0103,I109,103,2,51500000,51499996
201901,H0104,I106,95,2,1900000,1899996
201901,H0105,I114,87,0,20880000,20671196
201901,H0106,I108,101,2,4040000,4039996
201901,H0107,I106,103,2,2060000,2018796
201901,H0108,I101,82,2,2460000,2435396
201901,H0109,I111,111,0,16650000,16316996
201901,H0110,I107,107,2,16050000,15889496
201901,H0111,I106,100,1,2000000,1959996
201901,H0112,I101,92,2,2760000,2704796
201901,H0113,I111,119,1,17850000,17492996
201901,H0114,I118,88,1,46640000,45707196
201901,H0115,I120,98,0,421400000,412971996
201901,H0116,I102,78,0,3120000,3057596
201901,H0117,I118,92,0,48760000,47784796
201901,H0118,I108,109,2,4360000,4272796
201901,H0119,I120,107,2,460100000,460099996
201901,H0120,I105,76,0,7600000,7523996
201901,H0121,I115,108,2,540000,529196
201901,H0122,I118,89,2,47170000,46226596
201901,H0123,I107,82,1,12300000,12299996
201901,H0124,I116,109,1,159140000,155957196
201901,H0125,I103,104,2,5200000,5095996
201901,H0126,I107,82,1,12300000,12053996
201901,H0127,I104,95,0,6650000,6583496
201901,H0128,I101,72,1,2160000,2138396
201901,H0129,I111,81,1,12150000,12149996
201901,H0130,I113,107,1,71690000,70973096
201901,H0131,I111,92,1,13800000,13799996
201901,H0132,I103,70,0,3500000,3464996
201901,H0133,I111,116,2,17400000,17225996
201901,H0134,I105,109,2,10900000,10790996
201901,H0135,I110,78,1,23400000,22931996
201901,H0136,I113,95,0,63650000,62376996
201901,H0137,I112,97,1,6305000,6178896
201901,H0138,I108,73,2,2920000,2919996
201901,H0139,I119,111,2,10545000,10439546
201901,H0140,I115,82,2,410000,409996
201901,H0141,I103,113,1,5650000,5649996
201901,H0142,I112,110,1,7150000,7006996
201901,H0143,I110,116,0,34800000,34799996
201901,H0144,I119,81,1,7695000,7694996
201901,H0145,I117,114,1,285000000,284999996
201901,H0146,I101,103,2,3090000,3059096
201901,H0147,I101,78,2,2340000,2293196
201901,H0148,I106,100,2,2000000,1999996
201901,H0149,I102,72,0,2880000,2879996
201901,H0150,I117,97,1,242500000,242499996
201901,K0001,I116,19,22,27740000,19417996
201901,K0002,I113,24,26,16080000,11416796
201901,K0003,I108,40,22,1600000,1279996
201901,K0004,I109,36,30,18000000,14399996
201901,K0005,I101,24,27,720000,503996
201901,K0006,I108,37,27,1480000,1154396
201901,K0007,I115,31,26,155000,122446
201901,K0008,I115,38,23,190000,148196
201901,K0009,I109,14,28,7000000,5389996
201901,K0010,I118,38,27,20140000,15910596
201901,K0011,I118,27,24,14310000,10732496
201901,K0012,I115,16,29,80000,63996
201901,K0013,I107,32,26,4800000,3407996
201901,K0014,I119,11,27,1045000,752396
201901,K0015,I108,46,22,1840000,1379996
201901,K0016,I107,30,28,4500000,3374996
201901,K0017,I115,45,24,225000,157496
201901,K0018,I115,14,30,70000,52496
201901,K0019,I101,40,28,1200000,899996
201901,K0020,I118,17,29,9010000,6487196
201901,K0021,I118,24,25,12720000,9158396
201901,K0022,I104,35,29,2450000,1861996
201901,K0023,I110,17,22,5100000,4028996
201901,K0024,I104,46,30,3220000,2479396
201901,K0025,I119,33,28,3135000,2445296
201901,K0026,I101,40,23,1200000,887996
201901,K0027,I108,42,28,1680000,1259996
201901,K0028,I102,13,23,520000,405596
201901,K0029,I118,48,21,25440000,18316796
201901,K0030,I112,26,27,1690000,1284396
201901,K0031,I115,13,30,65000,50046
201901,K0032,I115,15,22,75000,54746
201901,K0033,I118,24,21,12720000,8903996
201901,K0034,I101,23,28,690000,524396
201901,K0035,I108,46,25,1840000,1453596
201901,K0036,I120,17,29,73100000,56286996
201901,K0037,I102,10,20,400000,307996
201901,K0038,I116,21,24,30660000,22075196
201901,K0039,I103,15,26,750000,584996
201901,K0040,I114,49,23,11760000,8231996
201901,K0041,I115,22,29,110000,87996
201901,K0042,I110,12,28,3600000,2735996
201901,K0043,I118,19,29,10070000,7048996
201901,K0044,I108,24,29,960000,691196
201901,K0045,I119,37,28,3515000,2741696
201901,K0046,I102,43,20,1720000,1307196
201901,K0047,I114,24,24,5760000,4319996
201901,K0048,I113,20,29,13400000,9379996
201901,K0049,I119,48,24,4560000,3465596
201901,K0050,I117,32,28,80000000,60799996
201901,K0051,I111,30,20,4500000,3464996
201901,K0052,I115,12,29,60000,47996
201901,K0053,I109,45,30,22500000,16424996
201901,K0054,I114,10,26,2400000,1895996
201901,K0055,I109,20,27,10000000,7599996
201901,K0056,I103,48,29,2400000,1799996
201901,K0057,I103,42,29,2100000,1532996
201901,K0058,I116,24,22,35040000,24878396
201901,K0059,I109,40,24,20000000,13999996
201901,K0060,I119,43,25,4085000,3267996
201901,K0061,I116,47,30,68620000,49406396
201901,K0062,I101,10,26,300000,209996
201901,K0063,I104,27,29,1890000,1417496
201901,K0064,I114,20,22,4800000,3359996
201901,K0065,I111,37,22,5550000,3940496
201901,K0066,I111,23,24,3450000,2414996
201901,K0067,I109,46,24,23000000,16559996
201901,K0068,I104,35,27,2450000,1935496
201901,K0069,I106,35,22,700000,489996
201901,K0070,I115,13,22,65000,47446
201901,K0071,I105,50,29,5000000,3699996
201901,K0072,I107,16,23,2400000,1871996
201901,K0073,I116,10,29,14600000,11533996
201901,K0074,I106,16,25,320000,223996
201901,K0075,I107,47,28,7050000,5569496
201901,K0076,I105,18,24,1800000,1403996
201901,K0077,I103,38,25,1900000,1329996
201901,K0078,I120,14,21,60200000,46353996
201901,K0079,I113,21,22,14070000,10271096
201901,K0080,I113,21,27,14070000,10974596
201901,K0081,I117,36,23,90000000,62999996
201901,K0082,I120,43,26,184900000,144221996
201901,K0083,I109,31,30,15500000,12089996
201901,K0084,I101,23,23,690000,510596
201901,K0085,I104,29,29,2030000,1502196
201901,K0086,I104,27,23,1890000,1360796
201901,K0087,I114,39,27,9360000,6551996
201901,K0088,I102,11,24,440000,312396
201901,K0089,I104,28,23,1960000,1469996
201901,K0090,I111,12,27,1800000,1259996
201901,K0091,I116,26,24,37960000,30367996
201901,K0092,I113,18,27,12060000,8441996
201901,K0093,I105,47,28,4700000,3571996
201901,K0094,I112,27,25,1755000,1333796
201901,K0095,I113,19,24,12730000,9165596
201901,K0096,I117,49,23,122500000,88199996
201901,K0097,I117,23,24,57500000,45999996
201901,K0098,I115,21,30,105000,79796
201901,K0099,I116,45,22,65700000,50588996
201901,K0100,I120,11,23,47300000,35474996
201901,K0101,I110,22,29,6600000,5279996
201901,K0102,I109,39,22,19500000,14039996
201901,K0103,I108,38,23,1520000,1139996
201901,K0104,I104,12,29,840000,629996
201901,K0105,I101,27,26,810000,639896
201901,K0106,I104,21,20,1470000,1102496
201901,K0107,I110,21,20,6300000,4850996
201901,K0108,I101,26,22,780000,545996
201901,K0109,I119,29,22,2755000,2093796
201901,K0110,I108,38,22,1520000,1109596
201901,K0111,I102,27,27,1080000,766796
201901,K0112,I113,13,24,8710000,6445396
201901,K0113,I109,27,21,13500000,10259996
201901,K0114,I105,13,20,1300000,909996
201901,K0115,I118,14,27,7420000,5342396
201901,K0116,I104,29,24,2030000,1441296
201901,K0117,I114,13,30,3120000,2308796
201901,K0118,I109,34,28,17000000,13089996
201901,K0119,I114,50,27,12000000,8759996
201901,K0120,I104,45,26,3150000,2236496
201901,K0121,I118,18,22,9540000,7441196
201901,K0122,I105,23,28,2300000,1816996
201901,K0123,I113,37,27,24790000,19831996
201901,K0124,I108,48,24,1920000,1363196
201901,K0125,I103,44,25,2200000,1561996
201901,K0126,I119,12,24,1140000,877796
201901,K0127,I113,27,28,18090000,13386596
201901,K0128,I115,38,23,190000,144396
201901,K0129,I104,25,22,1750000,1242496
201901,K0130,I108,16,28,640000,479996
201901,K0131,I119,39,26,3705000,2704646
201901,K0132,I106,27,20,540000,415796
201901,K0133,I120,12,20,51600000,39215996
201901,K0134,I102,10,27,400000,283996
201901,K0135,I119,44,29,4180000,2925996
201901,K0136,I115,42,22,210000,151196
201901,K0137,I114,36,26,8640000,6911996
201901,K0138,I117,33,23,82500000,59399996
201901,K0139,I112,36,24,2340000,1871996
201901,K0140,I104,39,25,2730000,2156696
201901,K0141,I118,33,23,17490000,13292396
201901,K0142,I109,35,29,17500000,12774996
201901,K0143,I110,17,24,5100000,3926996
201901,K0144,I104,16,20,1120000,873596
201901,K0145,I111,40,29,6000000,4799996
201901,K0146,I101,18,25,540000,388796
201901,K0147,I102,49,29,1960000,1469996
201901,K0148,I107,14,28,2100000,1658996
201901,K0149,I112,33,22,2145000,1673096
201901,K0150,I101,43,25,1290000,1031996
201901,K0151,I111,34,22,5100000,4028996
201901,K0152,I106,37,20,740000,569796
201901,K0153,I118,46,29,24380000,19503996
201901,K0154,I113,22,29,14740000,11202396
201901,K0155,I118,47,29,24910000,19180696
201901,K0156,I115,27,23,135000,99896
201901,K0157,I110,49,29,14700000,11612996
201901,K0158,I103,13,22,650000,513496
201901,K0159,I106,21,22,420000,335996
201901,K0160,I120,18,21,77400000,61919996
201901,K0161,I102,18,22,720000,518396
201901,K0162,I103,31,26,1550000,1162496
201901,K0163,I112,12,23,780000,600596
201901,K0164,I120,48,22,206400000,163055996
201901,K0165,I116,38,21,55480000,42164796
201901,K0166,I118,42,28,22260000,16694996
201901,K0167,I116,36,28,52560000,39945596
201901,K0168,I103,13,20,650000,461496
201901,K0169,I109,41,26,20500000,15784996
201901,K0170,I110,15,22,4500000,3554996
201901,K0171,I103,35,22,1750000,1347496
201901,K0172,I119,11,20,1045000,752396
201901,K0173,I113,33,22,22110000,15919196
201901,K0174,I117,50,22,125000000,98749996
201901,K0175,I119,49,30,4655000,3491246
201901,K0176,I112,24,23,1560000,1185596
201901,K0177,I110,34,30,10200000,7547996
201901,K0178,I107,45,24,6750000,5264996
201901,K0179,I110,15,20,4500000,3149996
201901,K0180,I119,30,25,2850000,2251496
201901,K0181,I119,40,24,3800000,2849996
201901,K0182,I120,19,23,81700000,60457996
201901,K0183,I105,31,28,3100000,2169996
201901,K0184,I106,30,26,600000,449996
201901,K0185,I102,15,29,600000,431996
201901,K0186,I110,36,29,10800000,8639996
201901,K0187,I101,30,21,900000,710996
201901,K0188,I101,25,25,750000,562496
201901,K0189,I107,27,21,4050000,3239996
201901,K0190,I119,19,27,1805000,1317646
201901,K0191,I105,45,20,4500000,3464996
201901,K0192,I120,35,29,150500000,108359996
201901,K0193,I120,13,25,55900000,43042996
201901,K0194,I101,20,20,600000,449996
201901,K0195,I107,19,21,2850000,2051996
201901,K0196,I114,33,22,7920000,6256796
201901,K0197,I113,20,30,13400000,10183996
201901,K0198,I106,27,21,540000,431996
201901,K0199,I120,33,21,141900000,102167996
201901,K0200,I115,30,29,150000,116996
201901,L0001,I103,5,35,250000,167496
201901,L0002,I117,5,30,12500000,8249996
201901,L0003,I119,8,30,760000,509196
201901,L0004,I111,5,35,750000,494996
201901,L0005,I120,10,35,43000000,27949996
201901,L0006,I119,10,33,950000,617496
201901,L0007,I108,7,35,280000,184796
201901,L0008,I112,9,30,585000,403646
201901,L0009,I104,8,33,560000,369596
201901,L0010,I116,9,31,13140000,8803796
201901,L0011,I118,10,32,5300000,3603996
201901,L0012,I115,9,32,45000,30146
201901,L0013,I106,7,30,140000,93796
201901,L0014,I103,5,34,250000,169996
201901,L0015,I102,7,34,280000,181996
201901,L0016,I109,7,35,3500000,2414996
201901,L0017,I115,6,35,30000,20696
201901,L0018,I120,9,33,38700000,25154996
201901,L0019,I103,8,35,400000,263996
201901,L0020,I111,10,35,1500000,974996
201901,L0021,I120,9,34,38700000,26702996
201901,L0022,I104,9,33,630000,440996
201901,L0023,I106,6,33,120000,79196
201901,L0024,I114,5,32,1200000,803996
201901,L0025,I113,8,33,5360000,3644796
201901,L0026,I116,7,30,10220000,6642996
201901,L0027,I120,7,33,30100000,21069996
201901,L0028,I104,5,34,350000,234496
201901,L0029,I107,7,35,1050000,724496
201901,L0030,I108,6,32,240000,165596
201901,L0031,I105,9,34,900000,593996
201901,L0032,I109,6,32,3000000,1979996
201901,L0033,I119,5,35,475000,313496
201901,L0034,I104,5,33,350000,241496
201901,L0035,I108,10,33,400000,259996
201901,L0036,I108,7,33,280000,190396
201901,L0037,I105,8,31,800000,519996
201901,L0038,I104,8,34,560000,363996
201901,L0039,I106,9,31,180000,122396
201901,L0040,I111,5,31,750000,487496
201901,L0041,I107,8,30,1200000,815996
201901,L0042,I118,8,34,4240000,2967996
201901,L0043,I112,6,35,390000,265196
201901,L0044,I115,10,31,50000,32996
201901,L0045,I119,5,35,475000,313496
201901,L0046,I117,8,32,20000000,13199996
201901,L0047,I106,7,33,140000,92396
201901,L0048,I115,6,31,30000,19496
201901,L0049,I105,10,30,1000000,679996
201901,L0050,I108,8,33,320000,214396
201901,L0051,I101,7,33,210000,136496
201901,L0052,I110,10,32,3000000,2099996
201901,L0053,I115,10,33,50000,32496
201901,L0054,I112,5,30,325000,217746
201901,L0055,I119,9,30,855000,589946
201901,L0056,I110,6,31,1800000,1187996
201901,L0057,I101,8,32,240000,155996
201901,L0058,I120,10,30,43000000,28809996
201901,L0059,I109,7,35,3500000,2274996
201901,L0060,I108,7,34,280000,184796
201901,L0061,I117,5,35,12500000,8249996
201901,L0062,I112,9,33,585000,409496
201901,L0063,I118,7,33,3710000,2448596
201901,L0064,I101,5,34,150000,100496
201901,L0065,I101,10,34,300000,203996
201901,L0066,I106,5,30,100000,68996
201901,L0067,I119,8,30,760000,501596
201901,L0068,I117,5,35,12500000,8124996
201901,L0069,I120,7,34,30100000,20768996
201901,L0070,I115,5,34,25000,16496
201901,L0071,I103,5,34,250000,167496
201901,L0072,I102,9,32,360000,241196
201901,L0073,I116,5,35,7300000,5109996
201901,L0074,I113,8,32,5360000,3591196
201901,L0075,I120,10,31,43000000,27949996
201901,L0076,I118,7,30,3710000,2559896
201901,L0077,I111,8,35,1200000,779996
201901,L0078,I102,8,30,320000,211196
201901,L0079,I103,9,30,450000,310496
201901,L0080,I115,5,35,25000,16746
201901,L0081,I110,5,32,1500000,1034996
201901,L0082,I103,9,30,450000,296996
201901,L0083,I113,6,34,4020000,2612996
201901,L0084,I108,9,34,360000,251996
201901,L0085,I104,7,31,490000,318496
201901,L0086,I120,6,31,25800000,16769996
201901,L0087,I108,10,31,400000,279996
201901,L0088,I114,10,33,2400000,1631996
201901,L0089,I120,7,30,30100000,19564996
201901,L0090,I118,5,31,2650000,1775496
201901,L0091,I103,5,35,250000,174996
201901,L0092,I101,5,30,150000,100496
201901,L0093,I108,6,35,240000,165596
201901,L0094,I106,9,34,180000,124196
201901,L0095,I102,9,31,360000,241196
201901,L0096,I119,5,30,475000,327746
201901,L0097,I107,10,32,1500000,1034996
201901,L0098,I102,9,31,360000,233996
201901,L0099,I102,9,30,360000,233996
201901,L0100,I103,7,30,350000,241496
201901,L0101,I101,7,32,210000,142796
201901,L0102,I117,8,30,20000000,13399996
201901,L0103,I110,5,30,1500000,989996
201901,L0104,I101,5,35,150000,103496
201901,L0105,I118,10,31,5300000,3550996
201901,L0106,I104,9,34,630000,409496
201901,L0107,I109,9,30,4500000,2924996
201901,L0108,I107,10,32,1500000,1034996
201901,L0109,I107,10,31,1500000,1034996
201901,L0110,I105,9,31,900000,629996
201901,L0111,I102,7,35,280000,184796
201901,L0112,I117,9,31,22500000,14624996
201901,L0113,I120,7,30,30100000,21069996
201901,L0114,I106,5,31,100000,66996
201901,L0115,I114,8,33,1920000,1267196
201901,L0116,I115,8,33,40000,27196
201901,L0117,I106,7,33,140000,93796
201901,L0118,I101,9,33,270000,186296
201901,L0119,I109,9,31,4500000,2969996
201901,L0120,I112,10,30,650000,428996
201901,L0121,I115,7,33,35000,24146
201901,L0122,I108,9,30,360000,233996
201901,L0123,I113,8,31,5360000,3591196
201901,L0124,I109,9,30,4500000,3104996
201901,L0125,I109,5,35,2500000,1699996
201901,L0126,I111,10,32,1500000,1049996
201901,L0127,I119,6,35,570000,398996
201901,L0128,I101,8,33,240000,167996
201901,L0129,I115,10,33,50000,34996
201901,L0130,I117,10,31,25000000,16749996
201901,L0131,I117,5,31,12500000,8249996
201901,L0132,I108,6,35,240000,158396
201901,L0133,I119,6,33,570000,381896
201901,L0134,I114,8,32,1920000,1324796
201901,L0135,I120,8,31,34400000,22703996
201901,L0136,I103,9,35,450000,314996
201901,L0137,I116,6,33,8760000,5956796
201901,L0138,I118,6,32,3180000,2098796
201901,L0139,I117,8,35,20000000,13599996
201901,L0140,I119,9,33,855000,598496
201901,L0141,I106,10,32,200000,135996
201901,L0142,I107,6,31,900000,602996
201901,L0143,I110,10,32,3000000,1949996
201901,L0144,I117,10,30,25000000,17499996
201901,L0145,I109,8,35,4000000,2599996
201901,L0146,I104,8,30,560000,386396
201901,L0147,I105,6,34,600000,401996
201901,L0148,I116,9,30,13140000,9197996
201901,L0149,I117,5,32,12500000,8749996
201901,L0150,I118,8,30,4240000,2925596
201901,L0151,I104,7,30,490000,342996
201901,L0152,I119,6,34,570000,381896
201901,L0153,I119,9,30,855000,589946
201901,L0154,I115,8,33,40000,26796
201901,L0155,I108,7,31,280000,190396
201901,L0156,I119,7,35,665000,458846
201901,L0157,I109,7,31,3500000,2379996
201901,L0158,I103,7,35,350000,227496
201901,L0159,I113,10,33,6700000,4689996
201901,L0160,I103,10,35,500000,334996
201901,L0161,I111,5,32,750000,487496
201901,L0162,I108,5,31,200000,133996
201901,L0163,I101,8,30,240000,158396
201901,L0164,I116,9,33,13140000,8540996
201901,L0165,I115,5,32,25000,16246
201901,L0166,I107,7,35,1050000,713996
201901,L0167,I114,6,33,1440000,979196
201901,L0168,I103,7,35,350000,244996
201901,L0169,I120,5,32,21500000,15049996
201901,L0170,I102,10,31,400000,279996
201901,L0171,I103,9,30,450000,292496
201901,L0172,I102,10,30,400000,279996
201901,L0173,I111,7,34,1050000,682496
201901,L0174,I102,8,30,320000,220796
201901,L0175,I115,10,32,50000,32496
201901,L0176,I110,9,35,2700000,1781996
201901,L0177,I120,5,32,21500000,14404996
201901,L0178,I118,6,32,3180000,2162396
201901,L0179,I111,9,31,1350000,890996
201901,L0180,I101,7,35,210000,138596
201901,L0181,I116,6,35,8760000,5781596
201901,L0182,I103,5,33,250000,169996
201901,L0183,I115,5,35,25000,17496
201901,L0184,I109,6,31,3000000,2039996
201901,L0185,I106,9,32,180000,124196
201901,L0186,I110,10,34,3000000,2069996
201901,L0187,I111,9,31,1350000,904496
201901,L0188,I119,5,34,475000,313496
201901,L0189,I105,7,30,700000,489996
201901,L0190,I105,9,34,900000,593996
201901,L0191,I114,8,31,1920000,1267196
201901,L0192,I116,6,30,8760000,6131996
201901,L0193,I120,6,35,25800000,16769996
201901,L0194,I111,6,33,900000,602996
201901,L0195,I113,8,31,5360000,3591196
201901,L0196,I108,10,35,400000,279996
201901,L0197,I113,8,32,5360000,3751996
201901,L0198,I114,5,33,1200000,779996
201901,L0199,I119,8,33,760000,501596
